Client_ID,Age,Annual_Income_USD,Credit_Score,Debt_To_Income_Ratio,Credit_Utilization_Rate,Target_Label
10152,69,107870,739,0.4,0.88,1
10153,52,27336,586,0.49,0.58,0
10154,24,128677,797,0.27,0.53,1
10155,50,92779,513,0.36,0.29,0
10156,57,44029,833,0.55,0.38,1
10157,43,84201,501,0.35,0.86,0
10158,59,57265,792,0.3,0.65,1
10159,65,127916,824,0.37,0.76,1
10160,35,137250,540,0.56,0.46,0
10161,63,68872,817,0.28,0.62,1
10162,49,71197,815,0.2,0.27,1
10163,56,80180,610,0.49,0.68,0
10164,33,48710,513,0.55,0.43,0
10165,52,54486,730,0.16,0.45,1
10166,27,96907,583,0.23,0.63,0
10167,42,96895,629,0.18,0.89,0
10168,48,89435,730,0.29,0.11,1
10169,22,65631,825,0.35,0.79,1
10170,62,126532,644,0.51,0.31,0
10171,65,45103,844,0.46,0.45,1
10172,26,89772,527,0.44,0.07,0
10173,48,39382,565,0.29,0.32,0
10174,48,109291,662,0.56,0.5,1
10175,64,126195,728,0.36,0.1,1
10176,64,28756,760,0.64,0.49,1
10177,40,45609,663,0.45,0.88,1
10178,50,139074,800,0.17,0.14,1
10179,31,41478,802,0.47,0.74,1
10180,48,125978,786,0.28,0.42,1
10181,45,64666,509,0.48,0.64,0
10182,59,100683,694,0.14,0.28,1
10183,53,124097,617,0.2,0.19,0
10184,21,125420,769,0.57,0.19,1
10185,47,96315,579,0.22,0.11,0
10186,33,102834,592,0.56,0.22,0
10187,61,39153,765,0.25,0.65,1
10188,23,134415,831,0.45,0.84,1
10189,59,101325,849,0.48,0.78,1
10190,26,134701,756,0.38,0.67,1
10191,28,37999,632,0.27,0.15,0
10192,47,80318,775,0.22,0.31,1
10193,29,25814,763,0.12,0.33,1
10194,57,101077,670,0.27,0.27,1
10195,53,115474,500,0.46,0.51,0
10196,62,27443,812,0.62,0.53,1
10197,64,100993,563,0.58,0.37,0
10198,44,100916,783,0.52,0.37,1
10199,35,98319,620,0.53,0.8,0
10200,52,134777,606,0.47,0.76,0
10201,52,42368,674,0.24,0.33,1
10202,44,40328,703,0.6,0.87,1
10203,61,81942,664,0.47,0.91,1
10204,69,116751,804,0.41,0.34,1
10205,69,124131,619,0.16,0.37,0
10206,32,52306,543,0.35,0.51,0
10207,59,110451,811,0.35,0.9,1
10208,22,64915,655,0.58,0.84,1
10209,23,62219,706,0.4,0.14,1
10210,69,105879,607,0.31,0.4,0
10211,57,136939,750,0.64,0.55,1
10212,69,89644,833,0.16,0.5,1
10213,37,85279,629,0.33,0.22,0
10214,69,78028,792,0.12,0.82,1
10215,22,129263,519,0.51,0.66,0
10216,22,25126,781,0.6,0.8,1
10217,48,77329,784,0.25,0.82,1
10218,43,52632,500,0.57,0.72,0
10219,57,132099,618,0.26,0.45,0
10220,52,90310,534,0.6,0.6,0
10221,53,134945,697,0.51,0.19,1
10222,21,80176,744,0.54,0.66,1
10223,39,111066,558,0.11,0.21,0
10224,22,130500,824,0.63,0.67,1
10225,64,69327,660,0.5,0.26,1
10226,46,93904,678,0.27,0.16,1
10227,52,28797,705,0.56,0.2,1
10228,26,72882,511,0.25,0.05,0
10229,52,38718,775,0.58,0.7,1
10230,24,59560,680,0.16,0.71,1
10231,31,101589,741,0.49,0.51,1
10232,37,47116,715,0.4,0.2,1
10233,58,61244,750,0.15,0.13,1
10234,44,126721,798,0.23,0.07,1
10235,25,26645,625,0.11,0.2,0
10236,54,72523,716,0.36,0.85,1
10237,26,44256,805,0.27,0.27,1
10238,42,126376,784,0.43,0.37,1
10239,31,125158,684,0.26,0.14,1
10240,68,78173,538,0.26,0.25,0
10241,36,62430,722,0.51,0.52,1
10242,53,64282,683,0.13,0.6,1
10243,29,88374,677,0.6,0.27,1
10244,26,93244,793,0.57,0.1,1
10245,36,36694,839,0.47,0.4,1
10246,49,81264,650,0.43,0.26,1
10247,23,100060,625,0.59,0.25,0
10248,40,122416,800,0.2,0.91,1
10249,56,82545,807,0.14,0.6,1
10250,39,64224,835,0.23,0.55,1
10251,46,127516,733,0.54,0.42,1
10252,23,122945,507,0.12,0.44,0
10253,39,38224,840,0.42,0.54,1
10254,40,65738,628,0.65,0.68,0
10255,52,50150,763,0.57,0.68,1
10256,27,88731,656,0.39,0.2,1
10257,61,74688,504,0.14,0.5,0
10258,53,124929,585,0.56,0.42,0
10259,60,133618,674,0.43,0.83,1
10260,59,98509,789,0.16,0.62,1
10261,38,33577,692,0.15,0.53,1
10262,60,33070,810,0.6,0.15,1
10263,21,33666,618,0.47,0.6,0
10264,31,82761,717,0.56,0.16,1
10265,48,61368,613,0.58,0.35,0
10266,45,31783,644,0.41,0.18,0
10267,43,136530,525,0.38,0.67,0
10268,51,66914,635,0.34,0.24,0
10269,50,95507,802,0.27,0.4,1
10270,62,104026,731,0.34,0.86,1
10271,55,136255,575,0.53,0.23,0
10272,27,135616,827,0.43,0.51,1
10273,36,92526,844,0.59,0.43,1
10274,46,95835,801,0.34,0.07,1
10275,68,70765,788,0.43,0.76,1
10276,69,44956,500,0.45,0.11,0
10277,22,112895,646,0.43,0.48,0
10278,21,71240,786,0.49,0.55,1
10279,68,62148,641,0.23,0.62,0
10280,32,119270,552,0.38,0.67,0
10281,25,29757,803,0.16,0.28,1
10282,57,44097,568,0.31,0.06,0
10283,52,35395,589,0.37,0.7,0
10284,29,41241,719,0.46,0.53,1
10285,61,128892,691,0.62,0.8,1
10286,55,52696,562,0.43,0.79,0
10287,39,95480,572,0.51,0.81,0
10288,68,71163,660,0.38,0.49,1
10289,36,44816,668,0.45,0.35,1
10290,23,74840,588,0.14,0.76,0
10291,40,127547,675,0.24,0.46,1
10292,44,77853,768,0.3,0.22,1
10293,53,49917,572,0.36,0.82,0
10294,44,121731,744,0.13,0.84,1
10295,31,46566,576,0.18,0.47,0
10296,69,100452,658,0.25,0.12,1
10297,28,87823,823,0.63,0.4,1
10298,56,45806,597,0.28,0.77,0
10299,58,100520,601,0.37,0.86,0
10300,60,26759,631,0.21,0.23,0
10301,40,66949,601,0.44,0.11,0
10302,55,117374,518,0.25,0.84,0
10303,68,27482,581,0.21,0.4,0
10304,45,49442,778,0.38,0.54,1
10305,55,58719,838,0.1,0.92,1
10306,45,83066,830,0.1,0.11,1
10307,49,118501,628,0.22,0.63,0
10308,38,27079,843,0.12,0.12,1
10309,66,27717,809,0.16,0.39,1
10310,38,84676,588,0.29,0.77,0
10311,22,52952,712,0.54,0.44,1
10312,55,111444,642,0.41,0.95,0
10313,36,67460,564,0.38,0.55,0
10314,61,115397,575,0.26,0.34,0
10315,56,97847,698,0.61,0.25,1
10316,53,118607,642,0.32,0.37,0
10317,24,114106,815,0.15,0.39,1
10318,53,43449,592,0.44,0.11,0
10319,34,58536,804,0.16,0.38,1
10320,41,89077,723,0.29,0.47,1
10321,68,63258,790,0.38,0.7,1
10322,40,73302,601,0.58,0.64,0
10323,28,53865,766,0.37,0.69,1
10324,27,31645,609,0.49,0.06,0
10325,23,63000,829,0.65,0.25,1
10326,37,51737,764,0.17,0.65,1
10327,53,36485,502,0.25,0.49,0
10328,68,63565,584,0.32,0.05,0
10329,32,50522,781,0.33,0.77,1
10330,42,90155,827,0.33,0.75,1
10331,42,80168,803,0.6,0.54,1
10332,66,77487,616,0.49,0.11,0
10333,50,37342,720,0.43,0.74,1
10334,58,65806,653,0.27,0.58,1
10335,58,73770,652,0.55,0.75,1
10336,65,103623,511,0.63,0.73,0
10337,28,128177,632,0.55,0.77,0
10338,47,124785,803,0.1,0.52,1
10339,47,100629,792,0.45,0.18,1
10340,54,77603,799,0.13,0.65,1
10341,41,137726,727,0.24,0.61,1
10342,50,106974,770,0.13,0.72,1
10343,53,130947,542,0.43,0.2,0
10344,48,51399,842,0.48,0.23,1
10345,67,110382,825,0.16,0.85,1
10346,53,106244,801,0.31,0.72,1
10347,25,134575,520,0.35,0.87,0
10348,68,135904,606,0.3,0.73,0
10349,39,101534,835,0.17,0.59,1
10350,24,80106,802,0.33,0.64,1
10351,55,137599,616,0.51,0.85,0
10352,69,55678,623,0.14,0.57,0
10353,37,101218,780,0.14,0.62,1
10354,64,88230,791,0.3,0.19,1
10355,48,139684,702,0.62,0.48,1
10356,50,99055,550,0.47,0.69,0
10357,49,81373,770,0.47,0.29,1
10358,66,56480,823,0.3,0.23,1
10359,26,110230,776,0.43,0.33,1
10360,55,93836,640,0.11,0.27,0
10361,61,97258,774,0.45,0.24,1
10362,57,64986,789,0.6,0.43,1
10363,44,49160,833,0.44,0.87,1
10364,49,110595,551,0.58,0.51,0
10365,69,126358,526,0.5,0.22,0
10366,66,104111,656,0.17,0.12,1
10367,51,89929,738,0.6,0.68,1
10368,55,98506,655,0.14,0.39,1
10369,53,59911,790,0.39,0.79,1
10370,41,112127,635,0.18,0.64,0
10371,52,56821,643,0.11,0.77,0
10372,43,100039,605,0.33,0.29,0
10373,53,85535,657,0.26,0.67,1
10374,23,138453,645,0.37,0.29,0
10375,38,109458,501,0.42,0.9,0
10376,45,37175,576,0.12,0.62,0
10377,62,79771,631,0.17,0.34,0
10378,51,131660,589,0.41,0.29,0
10379,23,111925,844,0.29,0.22,1
10380,60,138374,849,0.5,0.68,1
10381,66,91358,762,0.46,0.25,1
10382,44,42327,607,0.57,0.59,0
10383,52,72057,573,0.48,0.29,0
10384,67,31150,538,0.34,0.65,0
10385,42,29425,658,0.47,0.78,1
10386,43,41032,570,0.25,0.75,0
10387,22,27198,811,0.27,0.73,1
10388,47,85500,740,0.53,0.22,1
10389,62,78394,797,0.35,0.13,1
10390,22,45079,535,0.54,0.68,0
10391,46,61220,583,0.55,0.38,0
10392,37,66874,762,0.57,0.44,1
10393,60,38859,809,0.6,0.08,1
10394,53,75460,671,0.34,0.28,1
10395,29,56419,672,0.28,0.08,1
10396,63,33705,546,0.42,0.84,0
10397,68,67880,640,0.3,0.27,0
10398,59,48236,617,0.43,0.55,0
10399,49,112955,776,0.49,0.09,1
10400,62,110514,713,0.48,0.65,1
10401,46,128145,719,0.31,0.34,1
10402,55,40358,525,0.19,0.86,0
10403,45,124713,508,0.34,0.85,0
10404,44,119914,770,0.18,0.34,1
10405,33,127870,509,0.59,0.86,0
10406,27,101918,620,0.29,0.95,0
10407,56,39596,624,0.18,0.79,0
10408,65,58572,669,0.11,0.81,1
10409,40,103757,571,0.46,0.27,0
10410,21,26279,651,0.45,0.57,1
10411,28,88197,707,0.29,0.11,1
10412,66,136496,548,0.14,0.14,0
10413,36,87516,653,0.33,0.95,1
10414,34,32083,846,0.27,0.34,1
10415,32,134397,792,0.47,0.72,1
10416,43,42771,567,0.43,0.78,0
10417,35,54975,549,0.3,0.82,0
10418,48,70648,651,0.22,0.95,1
10419,54,73285,518,0.64,0.27,0
10420,22,44063,599,0.35,0.09,0
10421,52,92642,559,0.48,0.42,0
10422,43,115093,666,0.18,0.17,1
10423,42,139390,701,0.37,0.07,1
10424,45,111143,844,0.12,0.37,1
10425,42,62599,645,0.38,0.76,0
10426,42,76920,663,0.63,0.56,1
10427,69,53529,741,0.31,0.33,1
10428,62,60954,568,0.12,0.64,0
10429,26,52856,674,0.12,0.26,1
10430,35,27573,548,0.31,0.06,0
10431,63,103344,607,0.19,0.74,0
10432,57,60367,725,0.11,0.61,1
10433,53,127337,660,0.52,0.74,1
10434,28,131732,618,0.35,0.09,0
10435,64,124608,648,0.26,0.8,0
10436,64,85774,649,0.6,0.61,0
10437,25,48752,792,0.16,0.56,1
10438,59,80029,642,0.63,0.61,0
10439,24,42685,659,0.27,0.83,1
10440,26,76693,510,0.59,0.58,0
10441,65,80961,637,0.43,0.57,0
10442,52,131937,577,0.55,0.94,0
10443,50,101908,576,0.64,0.73,0
10444,67,99532,753,0.26,0.45,1
10445,55,106994,757,0.63,0.69,1
10446,60,81133,819,0.31,0.4,1
10447,36,122425,790,0.31,0.26,1
10448,33,86268,762,0.29,0.59,1
10449,62,117201,584,0.4,0.89,0
10450,50,63243,645,0.18,0.89,0
10451,39,82384,822,0.4,0.36,1
10452,37,56653,541,0.4,0.52,0
10453,39,51657,624,0.52,0.24,0
10454,48,64952,666,0.56,0.95,1
10455,46,47180,740,0.34,0.93,1
10456,57,122432,779,0.27,0.63,1
10457,46,103411,687,0.24,0.77,1
10458,43,26622,801,0.21,0.69,1
10459,29,73756,518,0.13,0.58,0
10460,32,65809,567,0.29,0.1,0
10461,21,41725,717,0.25,0.46,1
10462,21,86396,601,0.63,0.66,0
10463,67,76226,541,0.41,0.66,0
10464,54,131296,787,0.29,0.39,1
10465,52,106182,666,0.42,0.9,1
10466,68,107565,608,0.18,0.2,0
10467,45,54402,535,0.34,0.5,0
10468,60,29263,731,0.44,0.67,1
10469,65,121523,728,0.37,0.68,1
10470,21,71828,663,0.32,0.63,1
10471,36,72924,572,0.65,0.3,0
10472,59,99182,635,0.58,0.19,0
10473,25,118065,569,0.44,0.62,0
10474,42,84052,695,0.41,0.59,1
10475,49,36664,768,0.44,0.21,1
10476,23,60737,548,0.21,0.68,0
10477,32,126332,815,0.32,0.46,1
10478,46,114563,629,0.12,0.65,0
10479,36,54373,504,0.36,0.8,0
10480,57,61397,526,0.4,0.2,0
10481,42,111145,659,0.23,0.07,1
10482,49,126371,648,0.63,0.75,0
10483,34,63709,763,0.6,0.6,1
10484,48,86120,729,0.5,0.68,1
10485,25,44250,699,0.39,0.8,1
10486,67,46172,549,0.58,0.77,0
10487,69,36555,566,0.17,0.91,0
10488,50,112410,799,0.53,0.53,1
10489,66,103617,557,0.17,0.49,0
10490,25,78276,758,0.54,0.41,1
10491,32,82492,841,0.25,0.19,1
10492,36,78002,825,0.58,0.57,1
10493,46,114599,629,0.62,0.3,0
10494,46,97355,714,0.18,0.88,1
10495,68,116248,671,0.35,0.57,1
10496,41,49762,757,0.64,0.58,1
10497,59,36046,601,0.37,0.37,0
10498,56,121999,708,0.57,0.1,1
10499,53,53769,790,0.42,0.08,1
10500,50,78302,785,0.31,0.43,1
10501,57,48150,615,0.26,0.13,0
10502,43,93247,763,0.21,0.6,1
10503,30,29853,649,0.52,0.84,0
10504,25,119613,799,0.31,0.84,1
10505,56,114399,535,0.38,0.64,0
10506,54,46792,832,0.37,0.24,1
10507,51,84129,786,0.42,0.83,1
10508,30,131019,802,0.58,0.85,1
10509,39,99478,810,0.64,0.23,1
10510,52,138811,707,0.32,0.71,1
10511,21,139130,605,0.56,0.31,0
10512,25,92298,657,0.52,0.77,1
10513,65,56987,620,0.42,0.95,0
10514,24,40850,554,0.63,0.08,0
10515,36,37112,511,0.21,0.86,0
10516,44,49058,644,0.16,0.61,0
10517,36,70420,635,0.57,0.93,0
10518,22,63890,502,0.34,0.47,0
10519,69,91017,643,0.57,0.81,0
10520,48,72304,529,0.59,0.11,0
10521,52,57921,736,0.13,0.35,1
10522,47,130921,778,0.59,0.11,1
10523,40,26524,847,0.35,0.93,1
10524,44,125424,614,0.38,0.79,0
10525,32,40048,603,0.44,0.82,0
10526,55,60111,617,0.61,0.89,0
10527,53,62904,504,0.11,0.13,0
10528,53,79912,747,0.36,0.4,1
10529,63,59008,820,0.48,0.11,1
10530,57,25060,620,0.5,0.24,0
10531,32,99666,785,0.48,0.26,1
10532,23,108559,648,0.17,0.47,0
10533,21,80337,583,0.26,0.29,0
10534,53,135616,730,0.3,0.14,1
10535,60,38350,787,0.54,0.2,1
10536,30,49354,660,0.25,0.18,1
10537,63,70186,771,0.22,0.93,1
10538,64,53145,537,0.63,0.73,0
10539,49,59020,725,0.1,0.92,1
10540,33,111123,641,0.65,0.45,0
10541,32,131667,791,0.47,0.3,1
10542,51,100186,650,0.56,0.77,1
10543,66,110469,613,0.26,0.34,0
10544,22,45581,736,0.11,0.32,1
10545,55,113929,565,0.51,0.26,0
10546,43,48051,840,0.56,0.17,1
10547,37,76474,757,0.51,0.28,1
10548,46,116748,748,0.18,0.37,1
10549,28,139618,830,0.51,0.66,1
10550,49,94626,822,0.52,0.11,1
10551,46,31960,679,0.46,0.24,1
10552,30,60772,689,0.52,0.78,1
10553,46,46520,653,0.57,0.18,1
10554,54,74481,695,0.44,0.36,1
10555,61,61408,810,0.15,0.83,1
10556,27,119006,761,0.37,0.19,1
10557,24,82134,642,0.14,0.12,0
10558,65,45491,841,0.32,0.49,1
10559,31,26341,815,0.32,0.32,1
10560,49,69623,600,0.14,0.56,0
10561,56,115327,743,0.29,0.77,1
10562,45,25338,511,0.16,0.17,0
10563,41,96431,738,0.54,0.57,1
10564,56,37254,548,0.62,0.5,0
10565,30,76860,541,0.14,0.18,0
10566,57,36344,665,0.63,0.61,1
10567,29,26750,581,0.39,0.3,0
10568,44,79756,790,0.26,0.49,1
10569,55,92957,657,0.14,0.12,1
10570,69,130423,715,0.38,0.46,1
10571,55,83053,657,0.54,0.33,1
10572,68,95855,633,0.49,0.79,0
10573,56,40896,566,0.13,0.1,0
10574,38,80761,835,0.14,0.43,1
10575,69,87552,506,0.32,0.46,0
10576,59,102454,513,0.26,0.7,0
10577,52,115600,572,0.23,0.57,0
10578,44,137153,662,0.25,0.65,1
10579,43,52935,565,0.54,0.75,0
10580,52,62641,846,0.61,0.83,1
10581,57,54711,629,0.32,0.33,0
10582,32,95342,705,0.6,0.53,1
10583,69,131896,775,0.28,0.81,1
10584,33,37182,755,0.36,0.94,1
10585,43,112833,765,0.22,0.85,1
10586,45,81276,524,0.45,0.38,0
10587,55,44541,780,0.64,0.23,1
10588,61,119457,752,0.43,0.49,1
10589,50,107310,809,0.3,0.72,1
10590,37,69813,788,0.46,0.49,1
10591,69,62198,663,0.17,0.48,1
10592,40,33820,594,0.59,0.8,0
10593,68,49070,769,0.38,0.38,1
10594,45,94768,820,0.35,0.82,1
10595,42,36122,609,0.42,0.42,0
10596,33,105559,835,0.44,0.35,1
10597,39,98543,809,0.14,0.46,1
10598,69,108441,737,0.48,0.74,1
10599,56,66786,524,0.23,0.16,0
10600,32,119934,640,0.49,0.23,0
10601,61,124804,616,0.55,0.91,0
10602,39,31737,524,0.54,0.21,0
10603,32,61062,578,0.4,0.56,0
10604,29,79237,567,0.39,0.57,0
10605,27,76571,672,0.18,0.49,1
10606,48,50510,511,0.53,0.63,0
10607,34,44426,787,0.25,0.26,1
10608,51,62265,627,0.37,0.55,0
10609,39,42850,595,0.26,0.38,0
10610,67,91150,591,0.17,0.65,0
10611,36,112312,640,0.45,0.18,0
10612,25,114613,530,0.13,0.56,0
10613,55,99910,833,0.51,0.22,1
10614,32,77375,519,0.27,0.3,0
10615,45,60435,645,0.1,0.25,0
10616,41,121443,815,0.38,0.21,1
10617,56,82132,659,0.13,0.79,1
10618,43,103945,848,0.25,0.31,1
10619,36,107050,542,0.49,0.88,0
10620,59,120402,753,0.13,0.92,1
10621,65,27983,629,0.56,0.56,0
10622,62,122241,559,0.1,0.18,0
10623,59,45662,650,0.24,0.39,1
10624,34,48510,786,0.51,0.77,1
10625,51,103187,504,0.27,0.38,0
10626,25,65998,765,0.16,0.13,1
10627,55,81846,844,0.3,0.55,1
10628,43,119071,629,0.25,0.81,0
10629,49,31640,766,0.56,0.77,1
10630,63,69547,677,0.27,0.21,1
10631,31,79620,752,0.53,0.66,1
10632,38,40317,555,0.59,0.25,0
10633,67,32564,582,0.34,0.25,0
10634,32,52345,598,0.6,0.84,0
10635,29,138824,648,0.31,0.27,0
10636,30,119223,828,0.63,0.29,1
10637,64,104273,655,0.15,0.05,1
10638,37,99859,689,0.48,0.83,1
10639,58,105765,762,0.37,0.76,1
10640,27,135017,579,0.31,0.61,0
10641,66,99038,751,0.45,0.73,1
10642,33,77393,596,0.49,0.19,0
10643,60,91081,759,0.1,0.46,1
10644,62,127650,759,0.19,0.37,1
10645,29,54430,602,0.49,0.13,0
10646,47,100532,539,0.47,0.49,0
10647,22,52788,772,0.63,0.88,1
10648,25,120505,600,0.52,0.09,0
10649,49,73543,807,0.62,0.31,1
10650,57,38919,720,0.49,0.24,1
10651,58,94346,807,0.26,0.26,1
10652,39,121122,623,0.16,0.87,0
10653,28,64974,730,0.53,0.47,1
10654,68,132309,677,0.45,0.47,1
10655,65,41371,562,0.13,0.73,0
10656,21,70084,615,0.3,0.19,0
10657,42,54629,690,0.63,0.49,1
10658,37,76184,561,0.38,0.44,0
10659,27,86916,755,0.34,0.59,1
10660,45,98972,506,0.35,0.95,0
10661,65,87187,654,0.21,0.74,1
10662,24,37984,591,0.3,0.41,0
10663,56,58039,513,0.3,0.79,0
10664,26,110431,728,0.13,0.2,1
10665,51,108691,585,0.52,0.08,0
10666,39,83606,632,0.33,0.23,0
10667,64,35616,682,0.55,0.36,1
10668,59,127665,561,0.57,0.51,0
10669,47,130373,718,0.22,0.6,1
10670,30,75072,745,0.46,0.87,1
10671,46,49574,729,0.36,0.51,1
10672,39,28430,578,0.58,0.5,0
10673,59,37676,648,0.22,0.1,0
10674,23,35816,637,0.47,0.08,0
10675,65,57733,813,0.43,0.55,1
10676,33,110680,564,0.26,0.44,0
10677,48,27050,512,0.18,0.81,0
10678,40,134996,712,0.46,0.19,1
10679,48,58933,741,0.51,0.07,1
10680,28,49951,712,0.27,0.45,1
10681,61,57413,680,0.45,0.26,1
10682,59,59801,837,0.32,0.09,1
10683,21,80619,672,0.49,0.7,1
10684,23,57913,659,0.21,0.15,1
10685,33,137573,663,0.59,0.6,1
10686,48,65600,687,0.26,0.3,1
10687,69,82775,690,0.3,0.21,1
10688,45,115816,807,0.13,0.39,1
10689,53,115093,755,0.16,0.77,1
10690,58,137590,682,0.38,0.4,1
10691,26,60400,616,0.25,0.73,0
10692,64,29494,781,0.56,0.16,1
10693,65,105688,695,0.11,0.75,1
10694,52,114431,533,0.31,0.26,0
